From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
10363;10429;impassable;-1;-1;-1;-1;-1;;Fengtian-Mongolia
10363;10499;impassable;-1;-1;-1;-1;-1;;Fengtian-Mongolia
7578;10429;impassable;-1;-1;-1;-1;-1;;Fengtian-Mongolia
1811;7812;impassable;-1;-1;-1;-1;-1;;Fengtian-Mongolia
1811;10429;impassable;-1;-1;-1;-1;-1;;Fengtian-Mongolia
13297;13524;impassable;-1;-1;-1;-1;-1;;Acre-Peru
8191;13524;impassable;-1;-1;-1;-1;-1;;Acre-Peru
13290;13524;impassable;-1;-1;-1;-1;-1;;Acre-Peru
10802;12884;impassable;-1;-1;-1;-1;-1;;Tibet-India
10802;7273;impassable;-1;-1;-1;-1;-1;;Tibet-India
13733;13374;impassable;-1;-1;-1;-1;-1;;Xinjiang-India
13730;7273;impassable;-1;-1;-1;-1;-1;;Xinjiang-India
13731;7273;impassable;-1;-1;-1;-1;-1;;Xinjiang-India
2198;13733;impassable;-1;-1;-1;-1;-1;;Xinjiang-Tibet
10802;5042;impassable;-1;-1;-1;-1;-1;;Xinjiang-Tibet
13733;5042;impassable;-1;-1;-1;-1;-1;;Xinjiang-Tibet
13733;4973;impassable;-1;-1;-1;-1;-1;;Xinjiang-Tibet
12698;7810;sea;2935;-1;-1;-1;-1;;Labrador-Newfoundland
1381;10201;sea;7479;-1;-1;-1;-1;;Madurai-Ceylon
1399;12522;sea;5488;-1;-1;-1;-1;;Kurils-Kamchatka
12611;10557;impassable;-1;-1;-1;-1;-1;;Yakutia
12611;12538;impassable;-1;-1;-1;-1;-1;;Yakutia
4795;12538;impassable;-1;-1;-1;-1;-1;;Yakutia
4795;4868;impassable;-1;-1;-1;-1;-1;;Yakutia
4795;1666;impassable;-1;-1;-1;-1;-1;;Yakutia
7889;1666;impassable;-1;-1;-1;-1;-1;;Yakutia
12565;1666;impassable;-1;-1;-1;-1;-1;;Yakutia
4675;12565;impassable;-1;-1;-1;-1;-1;;Yakutia
4675;4821;impassable;-1;-1;-1;-1;-1;;Yakutia
7785;4821;impassable;-1;-1;-1;-1;-1;;Yakutia
7691;4821;impassable;-1;-1;-1;-1;-1;;Yakutia
7691;7844;impassable;-1;-1;-1;-1;-1;;Yakutia
1845;7844;impassable;-1;-1;-1;-1;-1;;Yakutia
10608;1730;impassable;-1;-1;-1;-1;-1;;Yakutia
10667;1730;impassable;-1;-1;-1;-1;-1;;Yakutia
10667;12591;impassable;-1;-1;-1;-1;-1;;Yakutia
10667;7772;impassable;-1;-1;-1;-1;-1;;Yakutia
12650;10667;impassable;-1;-1;-1;-1;-1;;Yakutia
7772;4752;impassable;-1;-1;-1;-1;-1;;Yakutia
7772;1878;impassable;-1;-1;-1;-1;-1;;Yakutia
7772;7746;impassable;-1;-1;-1;-1;-1;;Yakutia
12623;1714;impassable;-1;-1;-1;-1;-1;;Yakutia
1805;12623;impassable;-1;-1;-1;-1;-1;;Yakutia
-1;-1;;-1;-1;-1;-1;-1;-1;
